item_id	tag
10593	[581514]
10594	[4537]
10595	[4483]
10596	[4483]
10597	[4483]
10598	[4483]
10599	[4483]
10600	[4483]
10601	[581514]
10602	[4483]
10603	[581514]
10604	[4537]
10605	[106546]
10606	[4537]
10607	[4483]
10608	[529295]
10609	[4483]
10610	[4537]
10611	[581514]
10612	[4483]
10613	[4537]
10614	[4537]
10615	[581514]
10616	[4483]
10617	[4537]
10618	[4483]
10619	[529295]
10620	[4483]
10621	[581514]
10622	[4537]
10623	[4536]
10624	[4483]
10625	[95987]
10626	[4483]
10627	[1229817]
10628	[4536]
10629	[1229821]
10630	[4537]
10631	[581514]
10632	[4483]
10633	[581514]
10634	[1180168]
10635	[581514]
10636	[127175]
10637	[4483]
10638	[4537]
10639	[4483]
10640	[127175]
10641	[4536]
10642	[4537]
10643	[4537]
10644	[4483]
10645	[447913]
10646	[581514]
10647	[529295]
10648	[4537]
10649	[95987]
10650	[4537]
10651	[581514]
10652	[4483]
10653	[4537]
10654	[4537]
10655	[4537]
10656	[4537]
10657	[106546]
10658	[4537]
10659	[4483]
10660	[4537]
10661	[95987]
10662	[4483]
10663	[581514]
10664	[4537]
10665	[581514]
10666	[4483]
10667	[4483]
10668	[4537]
10669	[4537]
10670	[4483]
10671	[4483]
10672	[4537]
10673	[95987]
10674	[4537]
10675	[4483]
10676	[4483]
10677	[4537]
10678	[4537]
10679	[529295]
10680	[4537]
10681	[4537]
10682	[4483]
10683	[581514]
10684	[4537]
10685	[581514]
10686	[4537]
10687	[529295]
10688	[4537]
10689	[4537]
10690	[4483]
10691	[95987]
10692	[1070524]
10693	[4537]
10694	[95987]
10695	[581514]
10696	[4483]
10697	[4483]
10698	[4483]
10699	[529295]
10700	[4483]
10701	[4537]
10702	[4537]
10703	[4537]
10704	[4483]
10705	[4483]
10706	[4483]
10707	[4483]
10708	[4537]
10709	[4537]
10710	[4537]
10711	[4483]
10712	[581514]
10713	[4537]
10714	[4483]
10715	[4537]
10716	[4537]
10717	[4483]
10718	[4537]
10719	[4537]
10720	[4537]
10721	[4538]
10722	[4537]
10723	[4483]
10724	[4483]
10725	[4537]
10726	[522484]
10727	[4483]
10728	[4537]
10729	[522484]
10730	[4483]
10731	[4537]
10732	[1070524]
10733	[4483]
10734	[127175]
10735	[581514]
10736	[529295]
10737	[581514]
10738	[4537]
10739	[4483]
10740	[1229821]
10741	[4483]
10742	[4483]
10743	[4536]
10744	[4537]
10745	[4537]
10746	[4537]
10747	[4483]
10748	[4483]
10749	[581514]
10750	[4537]
10751	[581514]
10752	[4537]
10753	[95987]
10754	[4537]
10755	[4537]
10756	[4483]
10757	[1070524]
10758	[1180168]
10759	[4537]
10760	[529295]
10761	[1229817]
10762	[581514]
10763	[4537]
10764	[4538]
10765	[4483]
10766	[4483]
10767	[106546]
10768	[4538]
10769	[4483]
10770	[4537]
10771	[4537]
10772	[4537]
10773	[4537]
10774	[581514]
10775	[1229821]
10776	[4537]
10777	[4483]
10778	[4537]
10779	[4537]
10780	[4537]
10781	[4483]
10782	[4483]
10783	[4537]
10784	[4538]
10785	[95987]
10786	[4537]
10787	[1180168]
10788	[4537]
10789	[1229821]
10790	[4483]
10791	[4537]
10792	[4537]
10793	[529295]
10794	[529295]
10795	[4483]
10796	[4538]
10797	[106546]
10798	[4536]
10799	[4537]
10800	[1229821]
10801	[4483]
10802	[4538]
10803	[4538]
10804	[581514]
10805	[581514]
10806	[4537]
10807	[4537]
10808	[1180168]
10809	[4537]
10810	[1229821]
10811	[529295]
10812	[4537]
10813	[95987]
10814	[4483]
10815	[4483]
10816	[4537]
10817	[4537]
10818	[4538]
10819	[4537]
10820	[4483]
10821	[4537]
10822	[4483]
10823	[529295]
10824	[4537]
10825	[4483]
10826	[4537]
10827	[4483]
10828	[4483]
10829	[4483]
10830	[4483]
10831	[529295]
10832	[4537]
10833	[4537]
10834	[4537]
10835	[1229821]
10836	[4483]
10837	[4483]
10838	[4483]
10839	[4537]
10840	[4483]
10841	[4537]
10842	[4537]
10843	[4537]
10844	[4483]
10845	[95987]
10846	[4537]
10847	[581514]
10848	[4537]
10849	[4483]
10850	[1070524]
10851	[4483]
10852	[4483]
10853	[4483]
10854	[4537]
10855	[4483]
10856	[4537]
10857	[95987]
10858	[4483]
10859	[4537]
10860	[4483]
10861	[1070524]
10862	[4483]
10863	[581514]
10864	[4483]
10865	[4483]
10866	[4537]
10867	[4537]
10868	[4536]
10869	[4483]
10870	[4537]
10871	[4537]
10872	[4483]
10873	[4537]
10874	[4537]
10875	[4483]
10876	[4537]
10877	[4483]
10878	[4537]
10879	[4537]
10880	[4483]
10881	[1229821]
10882	[4483]
10883	[4537]
10884	[4537]
10885	[4483]
10886	[4537]
10887	[4537]
10888	[650659]
10889	[4483]
10890	[4537]
10891	[4537]
10892	[4483]
10893	[4537]
10894	[4537]
10895	[4483]
10896	[4483]
10897	[4537]
10898	[4483]
10899	[4537]
10900	[4483]
10901	[95987]
10902	[4483]
10903	[4483]
10904	[4537]
10905	[4483]
10906	[4483]
10907	[4537]
10908	[4483]
10909	[4483]
10910	[4537]
10911	[581514]
10912	[650659]
10913	[4537]
10914	[4483]
10915	[4483]
10916	[529295]
10917	[581514]
10918	[4483]
10919	[127175]
10920	[581514]
10921	[4536]
10922	[4483]
10923	[522484]
10924	[4538]
10925	[4483]
10926	[4483]
10927	[4483]
10928	[4538]
10929	[4483]
10930	[4483]
10931	[127175]
10932	[4538]
10933	[4537]
10934	[4538]
10935	[4483]
10936	[529295]
10937	[4537]
10938	[4483]
10939	[4537]
10940	[4483]
10941	[4483]
10942	[4537]
10943	[4483]
10944	[581514]
10945	[4483]
10946	[95987]
10947	[650659]
10948	[4537]
10949	[127175]
10950	[4537]
10951	[650659]
10952	[581514]
10953	[4537]
10954	[4483]
10955	[650659]
10956	[4483]
10957	[4537]
10958	[4483]
10959	[4537]
10960	[4483]
10961	[581514]
10962	[4537]
10963	[529295]
10964	[4537]
10965	[4537]
10966	[4536]
10967	[4483]
10968	[4537]
10969	[4483]
10970	[4483]
10971	[4483]
10972	[4537]
10973	[4538]
10974	[4537]
10975	[581514]
10976	[4537]
10977	[529295]
10978	[4483]
10979	[4537]
10980	[4537]
10981	[4483]
10982	[1085065]
10983	[4537]
10984	[4483]
10985	[4537]
10986	[127175]
10987	[106546]
